edad;abandono;viajes;departamento;distancia_casa;educacion;carrera;empleados;id;satisfaccion_entorno;sexo;implicacion;nivel_laboral;puesto;satisfaccion_trabajo;estado_civil;salario_mes;num_empresas_anteriores;mayor_edad;horas_extra;incremento_salario_porc;evaluacion;satisfaccion_companeros;horas_quincena;nivel_acciones;anos_experiencia;num_formaciones_ult_ano;conciliacion;anos_compania;anos_en_puesto;anos_desde_ult_promocion;anos_con_manager_actual
41;Yes;Travel_Rarely;Sales;1;Universitaria;Life Sciences;1;1;Media;3;Alta;2;Sales Executive;Alta;Single;5993;8;Y;Yes;11;Alta;Baja;80;0;8;0;#N/D;6;NA;0;5
49;No;Travel_Frequently;Research & Development;8;Secundaria;Life Sciences;1;2;Alta;2;Media;2;Research Scientist;Media;Married;5130;1;Y;No;23;Muy_Alta;Muy_Alta;80;1;10;3;#N/D;10;NA;1;7
37;Yes;Travel_Rarely;Research & Development;2;Secundaria;Other;1;4;Muy_Alta;2;Media;1;Laboratory Technician;Media;Single;2090;6;Y;Yes;15;Alta;Media;80;0;7;3;#N/D;0;2;0;0
33;No;Travel_Frequently;Research & Development;3;Universitaria;Life Sciences;1;5;Muy_Alta;3;Alta;1;Research Scientist;Alta;Married;2909;1;Y;Yes;11;Alta;Alta;80;0;8;3;#N/D;8;3;3;0
27;No;Travel_Rarely;Research & Development;2;Universitaria;Medical;1;7;Baja;3;Alta;1;Laboratory Technician;Alta;Married;3468;9;Y;No;12;Alta;Muy_Alta;80;1;6;3;#N/D;2;NA;2;2
32;No;Travel_Frequently;Research & Development;2;Universitaria;Life Sciences;1;8;Muy_Alta;3;Alta;1;Laboratory Technician;Alta;Single;3068;0;Y;No;13;Alta;Alta;80;0;8;2;#N/D;7;NA;3;6
59;No;Travel_Rarely;Research & Development;3;Master;Medical;1;10;Alta;4;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;2670;4;Y;Yes;20;Muy_Alta;Baja;80;3;12;3;Muy_Alta;1;NA;0;0
30;No;Travel_Rarely;Research & Development;24;Universitaria;Life Sciences;1;11;Muy_Alta;3;Alta;1;Laboratory Technician;Alta;Divorced;2693;1;Y;No;22;Muy_Alta;Media;80;1;1;2;#N/D;1;NA;0;0
38;No;Travel_Frequently;Research & Development;23;Secundaria;Life Sciences;1;12;Muy_Alta;2;Media;3;Manufacturing Director;Media;Single;9526;0;Y;No;21;Muy_Alta;Media;80;0;10;2;#N/D;9;NA;1;8
36;No;Travel_Rarely;Research & Development;27;Universitaria;Medical;1;13;Alta;3;Alta;2;Healthcare Representative;Alta;Married;5237;6;Y;No;13;Alta;Media;80;2;17;3;Alta;7;NA;7;7
35;No;Travel_Rarely;Research & Development;16;Master;Medical;1;14;Baja;4;Muy_Alta;1;Laboratory Technician;Muy_Alta;Married;2426;0;Y;No;13;Alta;Alta;80;1;6;5;Muy_Alta;5;NA;0;3
29;No;Travel_Rarely;Research & Development;15;Secundaria;Life Sciences;1;15;Muy_Alta;2;Media;2;Laboratory Technician;Media;Single;4193;0;Y;Yes;12;Alta;Muy_Alta;80;0;10;3;#N/D;9;2;0;8
31;No;Travel_Rarely;Research & Development;26;Universitaria;Life Sciences;1;16;Baja;3;Alta;1;Research Scientist;#N/D;Divorced;2911;1;Y;No;17;Alta;Muy_Alta;80;1;5;1;Alta;5;3;4;3
34;No;Travel_Rarely;Research & Development;19;Universitaria;Medical;1;18;Media;3;Alta;1;Laboratory Technician;Alta;Divorced;2661;0;Y;No;11;Alta;Alta;80;1;3;2;Alta;2;NA;1;2
28;Yes;Travel_Rarely;Research & Development;24;Secundaria;Life Sciences;1;19;Alta;2;Media;1;Laboratory Technician;Media;Single;2028;5;Y;Yes;14;Alta;Media;80;0;6;4;#N/D;4;NA;0;3
29;No;Travel_Rarely;Research & Development;21;Master;Life Sciences;1;20;Media;4;Muy_Alta;3;Manufacturing Director;Muy_Alta;Divorced;9980;1;Y;No;11;Alta;Alta;80;1;10;1;#N/D;10;NA;8;8
32;No;Travel_Rarely;Research & Development;5;Master;Life Sciences;1;21;Baja;4;Muy_Alta;1;Research Scientist;Muy_Alta;Divorced;3298;0;Y;Yes;12;Alta;Muy_Alta;80;2;7;5;Muy_Alta;6;NA;0;5
22;No;Non-Travel;Research & Development;16;Master;Medical;1;22;Muy_Alta;NA;Muy_Alta;1;Laboratory Technician;Muy_Alta;Divorced;2935;1;Y;Yes;13;Alta;Media;80;2;1;2;Muy_Alta;1;NA;0;0
53;No;Travel_Rarely;Sales;2;Secundaria;Life Sciences;1;23;Baja;2;Media;4;Manager;Media;Married;15427;2;Y;No;16;Alta;Alta;80;0;31;3;#N/D;25;NA;3;7
38;No;Travel_Rarely;Research & Development;2;Universitaria;Life Sciences;1;24;Muy_Alta;3;Alta;1;Research Scientist;Alta;Single;3944;5;Y;Yes;11;Alta;Alta;80;0;6;3;#N/D;3;NA;1;2
24;No;Non-Travel;Research & Development;11;Master;Other;1;26;Baja;4;Muy_Alta;2;Manufacturing Director;Muy_Alta;Divorced;4011;0;Y;No;18;Alta;Muy_Alta;80;1;5;5;#N/D;4;NA;1;3
36;Yes;Travel_Rarely;Sales;9;Secundaria;Life Sciences;1;27;Alta;2;Media;1;Sales Representative;#N/D;Single;3407;7;Y;No;23;Muy_Alta;Media;80;0;10;4;#N/D;5;2;0;3
